,REGIONS,EST,DailyGDP,ESTPerc,POP20,POP20Ratio,DailyGDPPerc,Area,PopDensity,GDPHead
0,CAISO,930.26,8.322559780821917,0.11645747735973301,36669676,0.11262825402356014,0.14023782774244634,362612.67040580034,101.12629533591011,82840.50069054333
1,ERCOT,571.38,4.735475205479452,0.07152997378561289,25756383,0.07910886497203046,0.07979429089532701,547048.6568909942,47.08243531092749,67107.57678980003
2,FRCC,584.77,3.196764493150685,0.07320624237917471,20269759,0.06225709672614354,0.05386651704884008,151441.85465201654,133.84515823961547,57564.524570815076
3,ISONE,366.37,2.9128963835616437,0.045865162406515794,14160438,0.043492759743742324,0.049083247465621725,163568.6515312811,86.5718330953651,75082.93034438623
4,MISO,1051.46,7.118826602739726,0.13163027448741735,44656227,0.1371583669921099,0.11995453383751668,1320279.0911165036,33.823323644575886,58186.10045134355
5,NYISO,585.98,5.261589452054794,0.07335771997426133,21994860,0.0675556195067729,0.08865948634325846,144948.14276900803,151.74295841134995,87314.95222065518
6,NorthernGridConnected,463.38,3.18075002739726,0.05800965951341891,16095613,0.04943650960070978,0.05359666811427414,1240887.9065749936,12.971045099815592,72129.82568604253
7,NorthernGridUnconnected,111.45,0.8352190410958904,0.013952213200333501,4593872,0.014109745135673419,0.01407371134567558,356780.2476021626,12.875914602544142,66361.21990338434
8,PJM,1550.19,11.791090630136987,0.19406533316307753,65742117,0.201922150976262,0.19868369590989254,593670.543441692,110.73838465838743,65464.09328437051
9,SCRTP,66.16,0.38451257534246575,0.008282444372669936,2695532,0.00827913131342189,0.0064791614269853635,47589.04343005227,56.64186135537626,52066.564225540635
10,SERTP,891.56,6.132121726027397,0.1116126980788635,39959158,0.12273165974500498,0.103328237099838,790122.0603204976,50.57339872752236,56012.80262211731
11,SPP,359.64,2.3351123287671234,0.045022646526405925,14342300,0.04405133570534157,0.03934739901484568,1178221.0106304996,12.172843524768776,59426.73071961958
12,WestConnect,239.88,1.63315498630137,0.03003012025568417,9947333,0.03055251287142386,0.027519190450684912,609854.1162930597,16.31100411433462,59925.768042549695
13,WestConnectNonEnrolled,164.73000000000002,1.1011874520547946,0.020622234907949195,6191785,0.01901761918592543,0.018555365209783174,346690.1573445095,17.859708067359872,64913.981993883834
