REGIONS,perc0,perc15,perc30,perc45,perc60
CAISO,0.0,0.0,0.0,0.0,0.09
ERCOT,0.0,0.0,0.05,0.05,0.0
FRCC,0.0,0.0,0.03,0.03,0.0
ISONE,0.0,0.0,0.03,0.03,0.03
MISO,0.0,0.0,0.0,0.0,0.0
NYISO,0.0,0.0,0.0,0.0,0.06
NorthernGridConnected,0.0,0.0,0.03,0.0,0.0
NorthernGridUnconnected,0.0,0.0,0.0,0.01,0.01
NotOrder1000,0.0,0.0,0.0,0.0,0.0
PJM,0.0,0.0,0.0,0.13,0.13
SCRTP,0.0,0.0,0.0,0.0,0.0
SERTP,0.0,0.07,0.0,0.0,0.07
SPP,0.0,0.0,0.03,0.03,0.0
WestConnect,0.0,0.02,0.0,0.0,0.02
WestConnectNonEnrolled,0.0,0.0,0.0,0.0,0.0
