REGIONS,EST,DailyGDP,ESTPerc,POP20,POP20Ratio,DailyGDPPerc
CAISO,930258.0,8.620352684931508,0.11645729987888044,36669676,0.11262825402356014,0.1352165586824214
ERCOT,571392.0,5.467883397260274,0.0715315208172284,25756383,0.07910886497203046,0.08576776418285907
FRCC,584768.0,3.453930136986301,0.07320603782560661,20269759,0.06225709672614354,0.05417742917516173
ISONE,366368.0,3.1062519452054795,0.04586494073904838,14160438,0.043492759743742324,0.04872384156224341
MISO,1051459.0,7.836202164383562,0.13163023169201205,44656227,0.1371583669921099,0.12291658224841022
NYISO,585979.0,5.617151589041097,0.07335764070368272,21994860,0.0675556195067729,0.08810914532479676
NorthernGridConnected,463372.0,3.3778397534246576,0.05800869431864772,16095613,0.04943650960070978,0.052983895663242235
NorthernGridUnconnected,111456.0,0.8291429315068493,0.013952973062634773,4593872,0.014109745135673419,0.013005715421619272
NotOrder1000,50756.0,0.4238073698630137,0.006354050932808377,2506448,0.0076983735018777985,0.006647729645365454
PJM,1550176.0,12.551696164383563,0.19406370200207188,65742117,0.201922150976262,0.1968825665267753
SCRTP,66144.0,0.4032085479452055,0.008280446546214779,2695532,0.00827913131342189,0.006324622005290958
SERTP,891573.0,6.530126520547945,0.1116143953880677,39959158,0.12273165974500498,0.10242982719405096
SPP,359655.0,2.637870876712329,0.04502455253052244,14342300,0.04405133570534157,0.041376940739456185
WestConnect,239883.0,1.7081845753424658,0.030030514617284107,9947333,0.03055251287142386,0.026794128768762415
WestConnectNonEnrolled,164736.0,1.1885483287671232,0.020622998945289638,6191785,0.01901761918592543,0.018643252859544754
